Team,Points
Purdue,2964.8739977676523
North Carolina St,2978.524285052028
Wisconsin,2991.488405763036
Nevada,2971.339076391042
Southern Cal,2989.107394797622
Middle Tennessee St,2964.3980131516782
Ohio U.,2978.198855228332
San Diego St,2967.5323771283724
Alabama-Birmingham,2976.754833273764
Baylor,2968.708681010812
Georgia St,2976.2080098122015
Central Florida,2991.8561141635773
Boston College,2984.573543840799
Texas St-San Marcos,2957.941935525124
Marshall,2985.417543688916
Texas Tech,2962.6288952937875
Florida St,2974.4147328616077
UNC-Charlotte,2968.5626850197827
Southern Miss,2976.8026114749314
Northern Illinois,2965.097235625588
Utah St,2962.576276143949
Duke,2984.1809147767704
Iowa St,2975.4430055200914
Kentucky,2983.808044652462
Pittsburgh,2974.053088707091
Indiana,2982.0946148496687
Fresno St,2987.236359880949
Maryland,2980.8036486559554
Ohio State,2990.5473203147067
Louisiana-Lafayette,2973.4693756326296
Virginia,2974.22680605837
Colorado St,2953.768595867284
Michigan,2965.8864243184607
Washington St,2986.8101640131936
Vanderbilt,2982.059511613645
Coastal Carolina,2959.392967318834
Alabama,2991.425198217648
Michigan St,2988.510092619881
Nebraska,2971.120010076531
Western Michigan,2963.1153451000155
Wake Forest,2985.297278113815
Georgia Tech,2974.516148658455
Connecticut,2959.517570584297
Arizona St,2984.602091738965
North Carolina,2959.6344297322375
Washington,2967.928912051918
East Carolina,2951.2948270714796
Utah,2975.8633391331277
Brigham Young,2980.027148077975
Tulsa,2970.43197884687
Auburn,2987.6251148271986
Eastern Michigan,2974.2579711451326
Buffalo,2975.060807867085
Texas A&M;,2975.7855438195047
Oklahoma,2990.4772923969936
Ball St,2969.4763595957556
Massachusetts,2962.6722725750888
Clemson,2981.8833597313906
Florida,2973.681637913405
Louisiana Tech,2983.884024983559
Old Dominion,2953.697928443293
Colorado,2981.547102687462
Akron,2973.346327340404
Troy,2969.1691921962783
Northwestern,2988.6909583323677
Kansas St,2977.379539569888
Notre Dame,2988.70433227002
Tulane,2962.098956044305
South Florida,2980.237663950881
Navy,2964.467651850283
Arkansas,2972.50450877017
Hawai`i,2988.811682676678
Memphis,2979.6336448356506
Air Force,2974.093325819673
Arizona,2963.6988418343863
Rice,2959.048973547541
Penn State,2989.8095495204097
Temple,2955.9731196717803
Arkansas St,2976.159356600285
Wyoming,2974.9789371392153
Idaho,2960.5598352783863
UNLV,2961.9212997171444
Western Kentucky,2962.5537422519265
Syracuse,2980.628790892805
Appalachian St,2966.7063703645213
Oklahoma St,2980.1741606353953
Miami OH,2961.914232119682
Mississippi,2983.535431787235
Texas,2964.5135467439095
California,2981.8285636231612
Texas-San Antonio,2963.703767411417
Virginia Tech,2976.4416175280276
UTEP,2947.6544731414583
Kansas,2948.5060489258476
South Carolina,2986.585516850339
Stanford,2986.8065722147417
New Mexico St,2954.6345463816024
San José St,2949.0894812752667
Illinois,2978.3451955044966
Oregon,2983.850677937009
TCU,2980.3453426093083
Missouri,2976.0074978942957
Rutgers,2980.66921490761
New Mexico,2970.932297567725
North Texas,2985.8361570189
Army,2967.891440876291
South Alabama,2960.5654505968714
UCLA,2963.1438396342305
Bowling Green,2958.072098008535
West Virginia,2983.826354845733
Tennessee,2960.6052483204026
Louisville,2965.4569831551544
Florida Int'l,2965.0717369469685
Central Michigan,2965.284834719867
SMU,2963.857340148278
Minnesota,2982.272087683107
Mississippi St,2978.499436557189
LSU,2986.899633402864
Houston,2984.9202991817765
Kent St,2957.7929946453824
Florida Atlantic,2969.051843097018
Miami FL,2967.927904683126
Georgia,2982.5462436284142
Toledo,2980.200829272967
Iowa,2985.961163149278
Louisiana-Monroe,2972.7329370312495
Oregon St,2957.0971447856473
Boise St,2989.236794040026
Georgia Southern,2969.82352330295
Cincinnati,2980.645580399195
